ingredient_id,tipo,nome,classificacao,formula_quimica,fonte,preco_padrao,MS,NDT,PB,FDN,FDA,AMIDO,CA,P,Mg,Na,K,Cl,S,Fe,Cu,Mn,Zn,Co,I,Se,ativo,qualidade_dados,created_by,created_at,updated_at
ing_excel_047,Mineral,Cloreto de magnésio hexahidratado,,MgCl₂ 6H₂O,(NRC16F1015),,100,0,0,0,0,0,0,0,12,0,0,34.9,0,0,0,0,0,0,0,0,True,Nome duplicado na planilha original,migracao_excel,,
ing_excel_048,Mineral,Hidróxido de magnésio,,Mg(OH)₂,(NRC16F1019),,100,0,0,0,0,0,0,0,41.7,0,0,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_049,Mineral,Óxido de magnésio,,MgO,(NRC16F1020),,100,0,0,0,0,0,0,0,56.2,0,0,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_050,Mineral,Sulfato de magnésio heptahidratado,,MgSO₄ 7H₂O,(NRC16F1021),,100,0,0,0,0,0,0,0,9.8,0,0,0,13.3,0,0,0,0,0,0,0,True,Nome duplicado na planilha original,migracao_excel,,
ing_excel_051,Mineral,Carbonato de Manganês,,MnCO3,,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.8,0,0,0,0,True,,migracao_excel,,
ing_excel_052,Mineral,Cloreto de Manganês,,MnCl2,,,100,0,0,0,0,0,0,0,0,0,0,56.3,0,0,0,43,0,0,0,0,True,,migracao_excel,,
ing_excel_053,Mineral,Oxido de manganês,,MnO,(NRC16F1059),,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5,0,0,0,0,True,,migracao_excel,,
ing_excel_054,Mineral,Sulfato de manganês monohidratado,,MnSO H₂O,(NRC16F1057),,100,0,0,0,0,0,0,0,0,0,0,0,19,0,0,32.5,0,0,0,0,True,,migracao_excel,,
ing_excel_055,Mineral,Sulfato de manganės pentahidratado,,MnSO 5H₂O,(NRC16F1058),,100,0,0,0,0,0,0,0,0,0,0,0,13.3,0,0,22.8,0,0,0,0,True,,migracao_excel,,
ing_excel_056,Mineral,Fosfato de amônio (dibásico),,(NH) HPO,(NRC16F1022),,100,0,0,0,0,0,0,20.6,0,0,0,0,2.2,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_057,Mineral,Fosfato de amônio (monobásico),,(NH) H₂PO,(NRC16F1023),,100,0,0,0,0,0,1.5,24.7,0,0,0,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_058,Mineral,Fosfato de cálcio (dibásico),,CaHPO,(NRC16F1007),,100,0,0,0,0,0,22,19.3,0,0,0,0,0,0,0,0,0,0,0,0,True,Nome duplicado na planilha original,migracao_excel,,
ing_excel_059,Mineral,Fosfato de cálcio (monobásico),,Ca(H₂PO)₂,(NRC16F1008),,100,0,0,0,0,0,16.5,21.6,0,0,0,0,0,0,0,0,0,0,0,0,True,Nome duplicado na planilha original,migracao_excel,,
ing_excel_060,Mineral,Fosfato defluorado ,,,(NRC16F1025),,100,0,0,0,0,0,32,18,0,4.9,0,0,0,0,0,0,0,0,0,0,True,Nome duplicado na planilha original,migracao_excel,,
ing_excel_061,Mineral,Fosfato monossódico,,"(NaH,PO H₂O)",(NRC16F1026),,100,0,0,0,0,0,0,22.5,0,16.7,0,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_062,Mineral,Ácido fosfórico,,H₃PO,(NRC16F1027),,100,0,0,0,0,0,0,31.6,0,0,0,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_063,Mineral,Tripolifosfato de sódio,,NaP₃O₁₀,(NRC16F1028),,100,0,0,0,0,0,0,25,0,31,0,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_064,Mineral,Bicarbonato de potássio,,KHCO,(NRC16F1029),,100,0,0,0,0,0,0,0,0,0,39.1,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_065,Mineral,Carbonato de potássio,,K₂CO₃,(NRC16F1030),,100,0,0,0,0,0,0,0,0,0,56.6,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_066,Mineral,Cloreto de potássio,,KCI,(NRC16F1016),,100,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,True,Nome duplicado na planilha original,migracao_excel,,
ing_excel_067,Mineral,Sulfato de potássio,,K₂SO₄,(NRC16F1032),,100,0,0,0,0,0,0,0,0,0,41.8,0,17.4,0,0,0,0,0,0,0,True,Nome duplicado na planilha original,migracao_excel,,
ing_excel_068,Mineral,Selenito de sódio,,Na₂SeO₃,(NRC16F1061),,100,0,0,0,0,0,0,0,0,36.6,0,0,0,0,0,0,0,0,0,45.6,True,,migracao_excel,,
ing_excel_069,Mineral,Selenato decahidrato de sódio,,Na₂SeO₄ 10H₂O,(NRC16F1062),,100,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,21.4,True,,migracao_excel,,
ing_excel_070,Mineral,Bicarbonato de sódio,,NaHCO₃,(NRC16F1033),,100,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_071,Mineral,Carbonato de sódio monohidrato,,Na₂CO₃ H₂O,(NRC16F1034),,100,0,0,0,0,0,0,0,0,37.1,0,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_072,Mineral,Cloreto de sódio (sal),,NaCl,(NRC16F1017),,100,0,0,0,0,0,0,0,0,39.3,0,60.7,0,0,0,0,0,0,0,0,True,Nome duplicado na planilha original,migracao_excel,,
ing_excel_073,Mineral,Sesquicarbonato de sódio desidratado,,Na₂CO₃ + NaHCO₃ 2H₂O,(NRC16F1035),,100,0,0,0,0,0,0,0,0,30.5,0,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_074,Mineral,Flor de Enxofre,,,,,100,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_075,Mineral,Sulfato de amônio,,(NH₄)₂SO₄,(NRC16F1037),,100,0,0,0,0,0,0,0,0,0,0,0,24.1,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_076,Mineral,Sulfato de cálcio dihidratado,,CaSO₄ 2H₂O,(NRC16F1010),,100,0,0,0,0,0,23.3,0,0,0,0,0,23.5,0,0,0,0,0,0,0,True,Nome duplicado na planilha original,migracao_excel,,
ing_excel_077,Mineral,Sulfato de magnésio heptahidratado,,MgSO₄ 7H₂O,(NRC16F1021),,100,0,0,0,0,0,0,0,9.8,0,0,0,13.3,0,0,0,0,0,0,0,True,Nome duplicado na planilha original,migracao_excel,,
ing_excel_078,Mineral,Sulfato de potássio,,K₂SO₄,(NRC16F1032),,100,0,0,0,0,0,0,0,0,0,41.8,0,17.4,0,0,0,0,0,0,0,True,Nome duplicado na planilha original,migracao_excel,,
ing_excel_079,Mineral,Sulfato de sódio,,Na₂SO₄,(NRC16F1036),,100,0,0,0,0,0,0,0,0,14.3,0,0,10,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_080,Mineral,Carbonato de zinco,,ZnCO₃,(NRC16F1064),,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.1,0,0,0,True,,migracao_excel,,
ing_excel_081,Mineral,Cloreto de zinco,,ZnCl₂,(NRC16F1065),,100,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,48,0,0,0,True,,migracao_excel,,
ing_excel_082,Mineral,Óxido de zinco,,ZnO,(NRC16F1066),,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,True,,migracao_excel,,
ing_excel_083,Mineral,Sulfato de zinco monohidratado,,ZnSO₄ H₂O,(NRC16F1067),,100,0,0,0,0,0,0,0,0,0,0,0,17.7,0,0,0,36.4,0,0,0,True,,migracao_excel,,
